request_id,submitted_at,channel,region,account_tier,item_code,item_class,quantity,declared_value,item_age_days,has_documentation,prior_requests_90d,flagged_duplicate,recorded_outcome
REQ-100066,2026-07-04T09:25:00,PHONE,APAC,GOLD,ITM-5335,CLASS_A,1,15.07,119,false,0,false,MANUAL_DECLINED
REQ-100067,2026-02-04T15:56:00,EMAIL,EMEA,GOLD,ITM-1744,CLASS_A,1,19.05,323,true,0,false,AUTO_APPROVED
REQ-100068,2026-03-12T03:48:00,PORTAL,EMEA,BRONZE,ITM-9855,CLASS_A,1,16.1,135,true,1,false,AUTO_APPROVED
REQ-100069,2025-03-30T11:19:00,PORTAL,EMEA,SILVER,ITM-3559,CLASS_C,2,11.84,5,true,0,false,MANUAL_APPROVED
REQ-100070,2025-08-10T02:09:00,PORTAL,EMEA,BRONZE,ITM-8958,CLASS_A,15,954.15,91,false,3,false,MANUAL_DECLINED
REQ-100071,2025-08-28T08:16:00,EMAIL,NA,BRONZE,ITM-3645,CLASS_A,40,134.8,243,true,3,false,MANUAL_APPROVED
REQ-100072,2025-07-30T01:05:00,PORTAL,APAC,SILVER,ITM-6274,CLASS_C,40,878.0,18,true,0,false,MANUAL_APPROVED
REQ-100073,2026-06-09T18:54:00,EMAIL,LATAM,SILVER,ITM-5718,CLASS_A,3,69.33,227,true,1,false,AUTO_APPROVED
REQ-100074,2026-07-03T11:20:00,PORTAL,APAC,GOLD,ITM-7660,CLASS_A,3,51.87,29,true,3,false,MANUAL_APPROVED
REQ-100075,2025-11-16T18:32:00,EMAIL,EMEA,GOLD,ITM-2073,CLASS_C,5,93.85,11,false,0,false,MANUAL_DECLINED
REQ-100076,2026-08-09T12:17:00,PORTAL,NA,SILVER,ITM-5429,CLASS_B,1,95.17,1130,true,0,true,AUTO_DECLINED
REQ-100077,2025-04-28T16:43:00,API,NA,BRONZE,ITM-5153,CLASS_B,1,10.63,14,true,5,false,MANUAL_DECLINED
REQ-100078,2025-10-31T04:52:00,PORTAL,APAC,BRONZE,ITM-9545,CLASS_B,8,747.36,676,true,1,false,MANUAL_APPROVED
REQ-100079,2026-07-31T14:04:00,PORTAL,EMEA,GOLD,ITM-3222,CLASS_C,15,415.8,199,false,2,false,MANUAL_DECLINED
REQ-100080,2026-06-08T08:53:00,EMAIL,EMEA,GOLD,ITM-9022,CLASS_C,120,5343.6,20,true,8,false,MANUAL_DECLINED
REQ-100081,2026-05-17T03:04:00,EMAIL,NA,SILVER,ITM-5969,CLASS_D,5,168.45,86,true,0,false,MANUAL_DECLINED
REQ-100082,2025-08-14T04:36:00,PORTAL,NA,GOLD,ITM-8477,CLASS_D,2,125.94,10,true,0,false,MANUAL_APPROVED
REQ-100083,2025-10-22T18:38:00,PORTAL,NA,SILVER,ITM-3610,CLASS_A,1,6.35,111,true,0,false,AUTO_APPROVED
REQ-100084,2026-06-29T13:27:00,PORTAL,NA,BRONZE,ITM-4475,CLASS_B,8,1852.96,20,false,3,false,MANUAL_DECLINED
REQ-100085,2026-04-17T09:20:00,API,APAC,GOLD,ITM-3650,CLASS_A,120,1626.0,104,false,3,false,MANUAL_APPROVED
REQ-100086,2025-04-26T15:22:00,API,NA,PLATINUM,ITM-3342,CLASS_C,8,593.12,18,true,1,false,AUTO_APPROVED
REQ-100087,2025-12-24T14:29:00,EMAIL,LATAM,GOLD,ITM-4287,CLASS_B,3,61.83,11,true,0,true,AUTO_DECLINED
REQ-100088,2026-06-03T16:39:00,API,NA,BRONZE,ITM-3039,CLASS_C,1,57.6,29,false,0,false,MANUAL_DECLINED
REQ-100089,2025-09-05T00:48:00,PORTAL,EMEA,BRONZE,ITM-5125,CLASS_A,1,357.81,43,false,0,false,AUTO_DECLINED
REQ-100090,2026-03-06T18:26:00,EMAIL,EMEA,SILVER,ITM-9595,CLASS_A,1,30.37,7,true,1,false,MANUAL_APPROVED
REQ-100091,2025-06-25T00:17:00,PORTAL,EMEA,GOLD,ITM-7724,CLASS_A,1,27.59,265,true,0,false,AUTO_APPROVED
REQ-100092,2025-10-05T22:21:00,EMAIL,NA,SILVER,ITM-5437,CLASS_C,5,106.6,197,false,0,false,MANUAL_DECLINED
REQ-100093,2025-01-23T15:53:00,PORTAL,NA,SILVER,ITM-7422,CLASS_C,40,948.4,512,true,0,false,MANUAL_APPROVED
REQ-100094,2025-12-07T23:08:00,PORTAL,EMEA,BRONZE,ITM-6298,CLASS_C,40,2005.2,75,true,0,false,MANUAL_DECLINED
REQ-100095,2025-12-20T12:10:00,API,NA,SILVER,ITM-7338,CLASS_C,40,481.6,895,true,0,false,MANUAL_DECLINED
REQ-100096,2025-05-08T12:32:00,PORTAL,NA,BRONZE,ITM-2869,CLASS_C,1,35.53,75,true,1,false,MANUAL_DECLINED
REQ-100097,2025-11-28T08:19:00,PORTAL,NA,GOLD,ITM-2736,CLASS_B,2,50.0,94,true,0,false,MANUAL_APPROVED
REQ-100098,2026-03-04T23:39:00,PORTAL,EMEA,SILVER,ITM-5165,CLASS_A,3,90.57,1067,true,0,false,MANUAL_DECLINED
REQ-100099,2026-06-21T08:51:00,PORTAL,APAC,BRONZE,ITM-2272,CLASS_B,5,263.3,14,false,0,false,MANUAL_DECLINED
REQ-100100,2025-05-10T16:45:00,EMAIL,NA,BRONZE,ITM-5339,CLASS_B,120,3660.0,158,false,1,false,MANUAL_DECLINED
REQ-100101,2026-04-06T06:52:00,PORTAL,NA,BRONZE,ITM-1789,CLASS_D,400,17512.0,482,true,0,false,MANUAL_DECLINED
REQ-100102,2025-09-17T05:12:00,PORTAL,NA,GOLD,ITM-6093,CLASS_C,2,39.08,8,true,0,false,MANUAL_DECLINED
REQ-100103,2025-11-23T08:01:00,PORTAL,NA,GOLD,ITM-4182,CLASS_B,1,73.77,353,true,0,false,AUTO_APPROVED
REQ-100104,2025-11-25T11:31:00,PORTAL,EMEA,SILVER,ITM-7091,CLASS_D,5,230.5,139,true,2,false,MANUAL_DECLINED
REQ-100105,2025-08-15T07:08:00,EMAIL,EMEA,BRONZE,ITM-4281,CLASS_C,1,21.19,329,true,0,false,MANUAL_DECLINED
REQ-100106,2026-06-05T15:21:00,PORTAL,EMEA,BRONZE,ITM-2424,CLASS_A,40,1588.8,259,true,1,false,AUTO_APPROVED
REQ-100107,2025-03-07T17:30:00,PORTAL,NA,GOLD,ITM-3694,CLASS_B,1,168.7,0,true,0,false,MANUAL_DECLINED
REQ-100108,2025-12-23T00:47:00,PORTAL,NA,GOLD,ITM-3546,CLASS_B,8,118.88,104,false,0,false,MANUAL_APPROVED
REQ-100109,2025-11-11T21:18:00,PORTAL,APAC,PLATINUM,ITM-4150,CLASS_A,2,38.32,5,true,2,false,MANUAL_APPROVED
REQ-100110,2026-05-21T13:55:00,API,NA,BRONZE,ITM-6823,CLASS_C,1,15.6,120,true,8,false,ROUTED_SPECIALIST
REQ-100111,2026-05-26T12:11:00,PORTAL,APAC,SILVER,ITM-7364,CLASS_B,5,127.7,14,true,5,false,MANUAL_DECLINED
REQ-100112,2026-02-05T14:40:00,API,EMEA,SILVER,ITM-4285,CLASS_B,2,84.78,73,true,1,false,MANUAL_APPROVED
REQ-100113,2025-05-21T11:22:00,API,NA,BRONZE,ITM-8351,CLASS_B,3,415.65,18,true,0,false,AUTO_APPROVED
REQ-100114,2026-05-25T03:01:00,API,LATAM,SILVER,ITM-6303,CLASS_A,2,21.56,551,true,0,false,MANUAL_APPROVED
REQ-100115,2026-02-04T13:29:00,PORTAL,EMEA,SILVER,ITM-1727,CLASS_C,2,25.18,28,true,1,false,MANUAL_APPROVED
REQ-100116,2026-06-14T20:19:00,API,EMEA,SILVER,ITM-8397,CLASS_A,8,278.24,218,true,0,false,MANUAL_APPROVED
REQ-100117,2025-06-28T20:37:00,EMAIL,LATAM,BRONZE,ITM-4027,CLASS_C,1,153.5,83,false,2,false,AUTO_DECLINED
REQ-100118,2025-09-05T14:27:00,EMAIL,EMEA,BRONZE,ITM-7927,CLASS_D,5,76.05,495,true,0,false,MANUAL_DECLINED
REQ-100119,2025-03-15T01:19:00,PORTAL,NA,GOLD,ITM-3809,CLASS_A,1,41.32,30,true,1,false,AUTO_APPROVED
REQ-100120,2025-09-27T21:14:00,PORTAL,NA,GOLD,ITM-6550,CLASS_A,2,498.84,30,false,0,false,MANUAL_DECLINED
REQ-100121,2025-01-07T16:08:00,PORTAL,APAC,BRONZE,ITM-9742,CLASS_B,3,434.04,93,true,2,false,MANUAL_APPROVED
REQ-100122,2026-07-18T23:04:00,PORTAL,NA,BRONZE,ITM-8232,CLASS_C,3,96.0,35,true,0,false,MANUAL_DECLINED
REQ-100123,2026-04-08T19:51:00,API,EMEA,GOLD,ITM-5787,CLASS_C,2,14.74,9,true,5,false,MANUAL_DECLINED
REQ-100124,2025-09-10T04:59:00,EMAIL,EMEA,GOLD,ITM-4579,CLASS_B,8,162.32,16,true,1,false,MANUAL_APPROVED
REQ-100125,2025-05-10T22:36:00,EMAIL,NA,SILVER,ITM-6573,CLASS_A,5,273.45,45,true,0,false,MANUAL_APPROVED
REQ-100126,2025-10-25T05:52:00,PORTAL,APAC,SILVER,ITM-2936,CLASS_B,40,4220.0,26,true,1,false,MANUAL_APPROVED
REQ-100127,2025-01-13T23:37:00,PORTAL,APAC,BRONZE,ITM-3397,CLASS_A,1,252.98,134,true,2,false,MANUAL_APPROVED
REQ-100128,2026-01-24T03:55:00,API,EMEA,BRONZE,ITM-4299,CLASS_B,40,8274.4,121,true,1,true,AUTO_DECLINED
REQ-100129,2026-03-20T12:35:00,PORTAL,NA,PLATINUM,ITM-9531,CLASS_A,40,501.2,28,false,0,false,MANUAL_DECLINED
REQ-100130,2026-06-19T11:01:00,PORTAL,NA,PLATINUM,ITM-8668,CLASS_C,1,141.06,131,true,0,false,MANUAL_APPROVED
REQ-100131,2025-03-25T18:26:00,PORTAL,LATAM,BRONZE,ITM-9295,CLASS_C,2,74.12,263,false,0,false,AUTO_DECLINED
REQ-100132,2025-10-08T00:59:00,EMAIL,EMEA,SILVER,ITM-4387,CLASS_A,1,16.98,2,true,1,false,MANUAL_APPROVED
REQ-100133,2025-12-07T05:34:00,PORTAL,LATAM,GOLD,ITM-9188,CLASS_A,2,260.72,1195,true,0,false,MANUAL_APPROVED
REQ-100134,2025-08-24T16:15:00,PORTAL,APAC,BRONZE,ITM-6516,CLASS_D,1,54.41,29,true,0,false,MANUAL_APPROVED
REQ-100135,2025-12-27T04:05:00,API,EMEA,BRONZE,ITM-2236,CLASS_B,15,854.1,1192,true,1,false,MANUAL_DECLINED
REQ-100136,2026-05-28T23:39:00,PORTAL,EMEA,SILVER,ITM-8999,CLASS_A,2,154.12,6,true,0,false,MANUAL_DECLINED
REQ-100137,2026-02-18T05:03:00,PORTAL,NA,SILVER,ITM-9807,CLASS_A,1,9.79,227,true,0,false,AUTO_APPROVED
REQ-100138,2025-09-10T07:03:00,EMAIL,APAC,BRONZE,ITM-4559,CLASS_C,3,247.02,177,true,2,false,MANUAL_DECLINED
REQ-100139,2026-01-21T19:38:00,PORTAL,NA,GOLD,ITM-6173,CLASS_A,5,149.35,127,true,0,false,AUTO_APPROVED
REQ-100140,2026-02-16T16:18:00,PORTAL,EMEA,BRONZE,ITM-3093,CLASS_B,1,56.86,22,true,0,false,MANUAL_APPROVED
REQ-100141,2026-05-08T12:21:00,EMAIL,NA,PLATINUM,ITM-9659,CLASS_C,40,712.8,516,false,0,false,MANUAL_DECLINED
REQ-100142,2026-07-19T06:54:00,API,NA,SILVER,ITM-1318,CLASS_A,40,572.4,256,true,0,false,AUTO_APPROVED
REQ-100143,2025-02-08T02:30:00,PORTAL,NA,BRONZE,ITM-1229,CLASS_C,5,40.95,20,true,3,false,MANUAL_APPROVED
REQ-100144,2025-08-09T05:22:00,EMAIL,NA,SILVER,ITM-6884,CLASS_A,1,226.93,174,true,1,false,AUTO_APPROVED
REQ-100145,2025-08-25T21:40:00,PORTAL,APAC,SILVER,ITM-3616,CLASS_C,2,56.58,3,true,0,false,MANUAL_DECLINED
REQ-100146,2025-07-15T02:39:00,PORTAL,NA,PLATINUM,ITM-1773,CLASS_C,1,40.18,167,false,0,false,MANUAL_DECLINED
REQ-100147,2026-04-24T07:14:00,EMAIL,NA,SILVER,ITM-3158,CLASS_D,1,27.45,6,false,8,false,ROUTED_SPECIALIST
REQ-100148,2025-04-08T22:10:00,PORTAL,EMEA,PLATINUM,ITM-8283,CLASS_C,8,861.44,15,true,0,true,AUTO_DECLINED
REQ-100149,2025-01-27T21:16:00,PORTAL,APAC,BRONZE,ITM-1541,CLASS_C,3,91.89,20,true,0,true,AUTO_DECLINED
REQ-100150,2025-10-17T10:23:00,PHONE,APAC,SILVER,ITM-3981,CLASS_D,5,127.95,16,true,2,false,MANUAL_DECLINED
REQ-100151,2025-07-08T06:57:00,PORTAL,APAC,GOLD,ITM-3458,CLASS_A,2,74.26,685,false,0,false,MANUAL_DECLINED
REQ-100152,2025-10-04T23:32:00,API,NA,SILVER,ITM-9090,CLASS_A,1,12.38,322,true,2,false,MANUAL_APPROVED
REQ-100153,2025-05-06T07:45:00,API,NA,BRONZE,ITM-2274,CLASS_D,40,1232.4,4,true,1,false,MANUAL_DECLINED
REQ-100154,2025-12-15T11:36:00,PORTAL,NA,BRONZE,ITM-7471,CLASS_B,40,1164.8,236,true,2,false,MANUAL_APPROVED
REQ-100155,2025-07-10T12:31:00,PORTAL,NA,SILVER,ITM-7846,CLASS_D,2,328.34,215,true,1,true,AUTO_DECLINED
REQ-100156,2025-01-24T21:35:00,EMAIL,APAC,BRONZE,ITM-3710,CLASS_A,1,7.61,230,true,1,false,MANUAL_APPROVED
REQ-100157,2026-01-04T17:14:00,EMAIL,NA,BRONZE,ITM-9048,CLASS_A,120,3966.0,7,false,5,false,AUTO_DECLINED
REQ-100158,2025-06-11T21:10:00,EMAIL,NA,BRONZE,ITM-3489,CLASS_A,3,202.11,195,true,0,false,MANUAL_APPROVED
REQ-100159,2026-04-02T10:24:00,PORTAL,NA,BRONZE,ITM-4586,CLASS_B,15,636.3,166,false,2,false,MANUAL_DECLINED
REQ-100160,2025-12-02T09:33:00,PORTAL,APAC,SILVER,ITM-2091,CLASS_C,40,3780.0,21,true,1,false,MANUAL_DECLINED
REQ-100161,2025-06-07T18:04:00,EMAIL,EMEA,GOLD,ITM-9216,CLASS_A,1,26.01,65,false,2,false,MANUAL_DECLINED
REQ-100162,2026-08-24T06:18:00,API,NA,SILVER,ITM-4300,CLASS_B,1,9.84,626,true,1,false,MANUAL_APPROVED
REQ-100163,2025-09-03T05:45:00,PORTAL,EMEA,GOLD,ITM-8732,CLASS_C,1,27.97,256,false,2,false,MANUAL_APPROVED
REQ-100164,2025-02-25T06:14:00,PORTAL,LATAM,SILVER,ITM-3063,CLASS_A,40,438.8,27,true,8,false,MANUAL_DECLINED
REQ-100165,2025-10-13T08:39:00,EMAIL,NA,PLATINUM,ITM-8932,CLASS_C,3,330.12,198,true,0,false,AUTO_APPROVED
REQ-100166,2025-11-27T17:54:00,PHONE,NA,GOLD,ITM-9132,CLASS_A,2,74.76,18,true,5,false,MANUAL_APPROVED
REQ-100167,2026-06-13T07:38:00,API,NA,BRONZE,ITM-9277,CLASS_C,1,37.81,331,true,0,false,MANUAL_APPROVED
REQ-100168,2025-04-28T12:56:00,EMAIL,LATAM,GOLD,ITM-4785,CLASS_A,3,44.49,3,true,3,false,MANUAL_APPROVED
REQ-100169,2025-05-02T17:36:00,EMAIL,NA,SILVER,ITM-8015,CLASS_D,1,21.89,11,true,0,false,MANUAL_APPROVED
REQ-100170,2025-02-19T08:07:00,API,NA,PLATINUM,ITM-6978,CLASS_C,3,285.06,462,true,0,false,MANUAL_APPROVED
REQ-100171,2026-04-15T22:06:00,PORTAL,APAC,BRONZE,ITM-5279,CLASS_A,5,279.9,175,false,3,false,AUTO_DECLINED
REQ-100172,2025-08-28T04:10:00,EMAIL,APAC,SILVER,ITM-8101,CLASS_A,1,72.62,9,false,0,false,MANUAL_DECLINED
REQ-100173,2026-07-13T04:25:00,PORTAL,EMEA,GOLD,ITM-2594,CLASS_B,1,30.9,1026,true,3,false,MANUAL_APPROVED
REQ-100174,2025-04-18T02:43:00,PORTAL,EMEA,BRONZE,ITM-6765,CLASS_C,40,1828.4,19,true,0,true,AUTO_DECLINED
REQ-100175,2026-07-22T13:01:00,EMAIL,NA,SILVER,ITM-8768,CLASS_B,8,1990.64,4,false,1,false,MANUAL_DECLINED
REQ-100176,2025-10-25T11:16:00,API,NA,BRONZE,ITM-6537,CLASS_C,8,70.16,327,true,0,false,MANUAL_DECLINED
REQ-100177,2026-06-19T22:23:00,EMAIL,NA,GOLD,ITM-4806,CLASS_B,5,184.95,9,false,0,false,MANUAL_DECLINED
REQ-100178,2026-05-13T07:13:00,EMAIL,EMEA,SILVER,ITM-9432,CLASS_C,1,167.29,306,true,0,false,MANUAL_APPROVED
REQ-100179,2026-01-11T03:36:00,PORTAL,LATAM,BRONZE,ITM-4940,CLASS_C,3,170.58,6,true,0,false,MANUAL_APPROVED
REQ-100180,2025-09-06T01:58:00,PORTAL,NA,BRONZE,ITM-2611,CLASS_A,1,14.01,30,true,2,false,MANUAL_APPROVED
REQ-100181,2026-02-17T04:16:00,PORTAL,LATAM,GOLD,ITM-9119,CLASS_C,2,16.18,143,true,2,false,MANUAL_APPROVED
REQ-100182,2025-09-19T23:08:00,PORTAL,APAC,SILVER,ITM-2213,CLASS_A,5,77.2,128,true,3,false,MANUAL_APPROVED
REQ-100183,2026-04-01T16:49:00,EMAIL,EMEA,GOLD,ITM-2119,CLASS_B,2,159.36,25,true,0,false,AUTO_APPROVED
REQ-100184,2025-05-29T04:34:00,EMAIL,NA,GOLD,ITM-4976,CLASS_B,400,20600.0,119,true,0,false,MANUAL_DECLINED
